Country or region,Region,Healthy life expectancy,Population (2020),Score
United Kingdom,Western Europe,0.996,67948282,7.054
Switzerland,Western Europe,1.052,8665615,7.48
Sweden,Western Europe,1.009,10110233,7.343
Spain,Western Europe,1.062,46757980,6.354
Portugal,Western Europe,0.999,10191409,5.693
Norway,Western Europe,1.028,5428594,7.554
Netherlands,Western Europe,0.999,17141544,7.488
N. Cyprus,Western Europe,1.042,1208886,5.718
Luxembourg,Western Europe,1.012,627704,7.09
Italy,Western Europe,1.039,60446035,6.223
Ireland,Western Europe,0.999,4947267,7.021
Iceland,Western Europe,1.026,341628,7.494
Greece,Western Europe,0.999,10413936,5.287
Germany,Western Europe,0.987,83830972,6.985
France,Western Europe,1.045,65298930,6.592
Finland,Western Europe,0.986,5542237,7.769
Denmark,Western Europe,0.996,5795780,7.6
Belgium,Western Europe,0.986,11598451,6.923
Austria,Western Europe,1.016,9015361,7.246
Zimbabwe,Sub-Saharan Africa,0.433,14899771,3.663
Zambia,Sub-Saharan Africa,0.426,18468257,4.107
Uganda,Sub-Saharan Africa,0.443,45974931,4.189
Togo,Sub-Saharan Africa,0.41,8310934,4.085
Tanzania,Sub-Saharan Africa,0.499,60012400,3.231
South Africa,Sub-Saharan Africa,0.469,59436725,4.722
Somalia,Sub-Saharan Africa,0.268,15965848,4.668
Sierra Leone,Sub-Saharan Africa,0.242,8004158,4.374
Senegal,Sub-Saharan Africa,0.571,16816539,4.681
S. Sudan,Sub-Saharan Africa,0.295,11216250,2.853
Rwanda,Sub-Saharan Africa,0.614,13005303,3.334
Nigeria,Sub-Saharan Africa,0.245,206984347,5.265
Niger,Sub-Saharan Africa,0.366,24346468,4.628
Mozambique,Sub-Saharan Africa,0.39,31398811,4.466
Mauritius,Sub-Saharan Africa,0.798,1272140,5.888
Mauritania,Sub-Saharan Africa,0.489,4669775,4.49
Mali,Sub-Saharan Africa,0.308,20346106,4.39
Malawi,Sub-Saharan Africa,0.495,19211425,3.41
Madagascar,Sub-Saharan Africa,0.555,27808395,3.933
Liberia,Sub-Saharan Africa,0.443,5077411,3.975
Lesotho,Sub-Saharan Africa,0.168,2145194,3.802
Kenya,Sub-Saharan Africa,0.581,53968739,4.509
Guinea,Sub-Saharan Africa,0.375,13191279,4.534
Ghana,Sub-Saharan Africa,0.486,31181428,4.996
Gabon,Sub-Saharan Africa,0.571,2234448,4.799
Ethiopia,Sub-Saharan Africa,0.532,115434444,4.286
Dem. Rep. Congo,Sub-Saharan Africa,0.357,90003954,4.418
Côte d'Ivoire,Sub-Saharan Africa,0.232,26486282,4.944
